期刊名称,JCR_2024JIF,JCR_Quartile,JCR_JIF_rank,JCR_Category,CAS_分区,CAS_Top,CAS_OpenAccess,ISSN,EISSN,出版商,国家,EI_学科,数据来源
4OR,,,,,,,,16194500,16142411,Springer,Germany,Management Information Systems; Computational Theory and Mathematics; Management Science and Operations Research; Theoretical Computer Science,EI
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,2.6,Q2,42/106,OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE),4,否,否,,,,,,JCR+CAS
A & A PRACTICE,0.6,Q4,53/68,ANESTHESIOLOGY(ESCI),4,否,否,,,,,,JCR+CAS
A + U-ARCHITECTURE AND URBANISM,,,,,4,否,否,,,,,,CAS
A&C-REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL,0.5,Q3,225/434,LAW(ESCI),4,否,否,,,,,,JCR+CAS
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,0.3,,,LANGUAGE & LINGUISTICS(AHCI);LITERATURE(AHCI),4,否,否,,,,,,JCR+CAS
AAC: AUGMENTATIVE AND ALTERNATIVE COMMUNICATION,,,,,,,,07434618,14773848,Taylor and Francis Ltd.,United Kingdom,Rehabilitation; Speech and Hearing,EI
AACE CLINICAL CASE REPORTS,1.2,Q4,164/191,ENDOCRINOLOGY & METABOLISM(ESCI),,,,,,,,,JCR
AACN ADVANCED CRITICAL CARE,1.5,Q3,102/192,NURSING(ESCI),4,否,否,,,,,,JCR+CAS
AAPG BULLETIN,2.5,Q2,109/258,"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",3,否,否,01491423,-,American Association of Petroleum Geologists,United States,Earth and Planetary Sciences (miscellaneous); Geochemistry and Petrology; Geology; Energy Engineering and Power Technology; Fuel Technology,JCR+CAS+EI
AAPPS BULLETIN,5.9,Q1,15/114,"PHYSICS, MULTIDISCIPLINARY(ESCI)",,,,,,,,,JCR
AAPS JOURNAL,3.7,Q2,99/352,PHARMACOLOGY & PHARMACY(SCIE),3,否,否,,,,,,JCR+CAS
AAPS PHARMSCITECH,4.0,Q1,82/352,PHARMACOLOGY & PHARMACY(SCIE),4,否,否,,,,,,JCR+CAS
AATCC JOURNAL OF RESEARCH,1.2,Q3,19/31,"MATERIALS SCIENCE, TEXTILES(SCIE)",4,否,否,24723444,23305517,SAGE Publications Inc.,United States,Process Chemistry and Technology; Materials Chemistry; Polymers and Plastics,JCR+CAS+EI
AATCC REVIEW,0.7,Q4,24/31,"CHEMISTRY, APPLIED(SCIE);ENGINEERING, CHEMICAL(SCIE);MATERIALS SCIENCE, TEXTILES(SCIE)",4,否,否,,,,,,JCR+CAS
AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE,0.6,Q1,65/538,HISTORY(AHCI),3,否,否,,,,,,JCR+CAS
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,2.3,Q2,87/241,"BUSINESS, FINANCE(SSCI)",4,否,否,,,,,,JCR+CAS
ABAKOS,<0.1,Q4,135/136,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(ESCI)",4,否,是,,,,,,JCR+CAS
ABANICO VETERINARIO,0.3,Q4,150/170,VETERINARY SCIENCES(ESCI),4,否,否,,,,,,JCR+CAS
ABB REVIEW,,,,,,,,10133119,-,ABB Corporate Management Services AG,Switzerland,Electrical and Electronic Engineering; Mechanical Engineering,EI
ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY,1.8,Q3,98/147,GASTROENTEROLOGY & HEPATOLOGY(ESCI),4,否,是,,,,,,JCR+CAS
ABDOMINAL RADIOLOGY,2.2,Q2,100/212,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",3,否,否,,,,,,JCR+CAS
ABE JOURNAL,0.3,,,ARCHITECTURE(ESCI),4,否,是,,,,,,JCR+CAS
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0.3,Q4,432/483,MATHEMATICS(SCIE),4,否,否,,,,,,JCR+CAS
ABIOTECH,5.0,Q1,30/273,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(ESCI);PLANT SCIENCES(ESCI),2,否,否,20966326,26621738,Springer,Singapore,"Agronomy and Crop Science; Plant Science; Biochemistry, Genetics and Molecular Biology (miscellaneous); Biotechnology; Genetics; Molecular Biology",JCR+CAS+EI
ABORIGINAL HISTORY,0.1,Q3,363/538,HISTORY(ESCI),3,否,否,,,,,,JCR+CAS
ABORIGINAL POLICY STUDIES,1.4,Q2,98/271,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",,,,,,,,,JCR
ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL,0.1,,,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",4,否,是,,,,,,JCR+CAS
ABU TECHNICAL REVIEW,,,,,,,,01266209,-,Asia Pacific Broadcasting Union,Malaysia,Electrical and Electronic Engineering,EI
ACADEMIA Y VIRTUALIDAD,0.1,Q4,700/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),4,否,是,,,,,,JCR+CAS
ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,1.4,Q3,224/316,BUSINESS(SSCI);MANAGEMENT(SSCI),4,否,否,,,,,,JCR+CAS
ACADEMIC EMERGENCY MEDICINE,3.2,Q1,7/56,EMERGENCY MEDICINE(SCIE),3,否,否,,,,,,JCR+CAS
ACADEMIC JOURNAL OF MODERN PHILOLOGY,<0.1,,,LANGUAGE & LINGUISTICS(ESCI),4,否,是,,,,,,JCR+CAS
ACADEMIC MEDICINE,5.2,Q1,5/86,"EDUCATION, SCIENTIFIC DISCIPLINES(SCIE);HEALTH CARE SCIENCES & SERVICES(SCIE)",1,是,否,,,,,,JCR+CAS
ACADEMIC PATHOLOGY,1.3,Q3,61/90,PATHOLOGY(ESCI),4,否,是,,,,,,JCR+CAS
ACADEMIC PEDIATRICS,2.8,Q1,29/191,PEDIATRICS(SCIE),3,否,否,,,,,,JCR+CAS
ACADEMIC PSYCHIATRY,2.8,Q1,111/756,EDUCATION & EDUCATIONAL RESEARCH(SSCI);PSYCHIATRY(SSCI),4,否,否,,,,,,JCR+CAS
ACADEMIC RADIOLOGY,3.9,Q1,35/212,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",2,否,否,,,,,,JCR+CAS
ACADEMY OF MANAGEMENT ANNALS,16.5,Q1,1/316,BUSINESS(SSCI);MANAGEMENT(SSCI),1,是,否,,,,,,JCR+CAS
ACADEMY OF MANAGEMENT DISCOVERIES,4.8,Q1,103/420,MANAGEMENT(SSCI),2,否,否,,,,,,JCR+CAS
ACADEMY OF MANAGEMENT JOURNAL,10.5,Q1,12/420,BUSINESS(SSCI);MANAGEMENT(SSCI),1,是,否,,,,,,JCR+CAS
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,5.2,Q1,24/756,EDUCATION & EDUCATIONAL RESEARCH(SSCI);MANAGEMENT(SSCI),2,否,否,,,,,,JCR+CAS
ACADEMY OF MANAGEMENT PERSPECTIVES,5.7,Q1,77/420,BUSINESS(SSCI);MANAGEMENT(SSCI),2,否,否,,,,,,JCR+CAS
ACADEMY OF MANAGEMENT REVIEW,13.9,Q1,3/316,BUSINESS(SSCI);MANAGEMENT(SSCI),1,是,否,,,,,,JCR+CAS
ACADEMY REVIEW,0.2,Q4,223/241,"BUSINESS, FINANCE(ESCI);ECONOMICS(ESCI);MANAGEMENT(ESCI)",4,否,是,,,,,,JCR+CAS
ACADIENSIS,0.2,Q2,265/538,HISTORY(AHCI),4,否,否,,,,,,JCR+CAS
ACAROLOGIA,1.1,Q3,64/110,ENTOMOLOGY(SCIE),3,否,否,,,,,,JCR+CAS
ACCESS TO JUSTICE IN EASTERN EUROPE,0.5,Q3,225/434,LAW(ESCI),4,否,是,,,,,,JCR+CAS
ACCESS-ACCESS TO SCIENCE BUSINESS INNOVATION IN THE DIGITAL ECONOMY,0.6,Q4,480/617,"BUSINESS(ESCI);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI);ECONOMICS(ESCI);MANAGEMENT(ESCI)",4,否,是,,,,,,JCR+CAS
ACCIDENT ANALYSIS AND PREVENTION,6.2,Q1,7/271,"ERGONOMICS(SSCI);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI);TRANSPORTATION(SSCI)",1,是,否,00014575,-,Elsevier Ltd,United Kingdom,"Safety, Risk, Reliability and Quality; Public Health, Environmental and Occupational Health; Human Factors and Ergonomics; Law",JCR+CAS+EI
ACCION PSICOLOGICA,0.6,Q4,174/221,"PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)",4,否,是,,,,,,JCR+CAS
ACCIONES E INVESTIGACIONES SOCIALES,0.3,Q3,203/271,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",4,否,是,,,,,,JCR+CAS
ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY,4.0,Q1,2/23,MEDICAL ETHICS(SCIE),2,否,否,,,,,,JCR+CAS
ACCOUNTING AND BUSINESS RESEARCH,1.4,Q3,148/241,"BUSINESS, FINANCE(SSCI)",4,否,否,,,,,,JCR+CAS
ACCOUNTING AND FINANCE,2.6,Q2,74/241,"BUSINESS, FINANCE(SSCI)",4,否,否,,,,,,JCR+CAS
ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL,3.4,Q1,57/241,"BUSINESS, FINANCE(SSCI)",2,否,否,,,,,,JCR+CAS
ACCOUNTING ECONOMICS AND LAW-A CONVIVIUM,0.8,Q4,185/241,"BUSINESS, FINANCE(ESCI)",4,否,否,,,,,,JCR+CAS
ACCOUNTING EDUCATION,2.3,Q2,87/241,"BUSINESS, FINANCE(ESCI)",3,否,否,,,,,,JCR+CAS
ACCOUNTING FORUM,3.4,Q1,57/241,"BUSINESS, FINANCE(SSCI)",3,否,否,,,,,,JCR+CAS
ACCOUNTING HISTORIANS JOURNAL,1.0,Q3,173/241,"BUSINESS, FINANCE(ESCI)",4,否,否,,,,,,JCR+CAS
ACCOUNTING HISTORY,0.9,Q3,180/241,"BUSINESS, FINANCE(ESCI)",4,否,否,,,,,,JCR+CAS
ACCOUNTING HISTORY REVIEW,1.3,Q3,234/316,BUSINESS(ESCI),4,否,否,,,,,,JCR+CAS
ACCOUNTING HORIZONS,2.2,Q2,93/241,"BUSINESS, FINANCE(SSCI)",3,否,否,,,,,,JCR+CAS
ACCOUNTING IN EUROPE,4.3,Q1,36/241,"BUSINESS, FINANCE(ESCI)",3,否,否,,,,,,JCR+CAS
ACCOUNTING ORGANIZATIONS AND SOCIETY,4.0,Q1,41/241,"BUSINESS, FINANCE(SSCI)",2,否,否,,,,,,JCR+CAS
ACCOUNTING PERSPECTIVES,0.9,Q3,180/241,"BUSINESS, FINANCE(ESCI)",4,否,否,,,,,,JCR+CAS
ACCOUNTING RESEARCH JOURNAL,2.1,Q2,105/241,"BUSINESS, FINANCE(ESCI)",4,否,否,,,,,,JCR+CAS
ACCOUNTING REVIEW,4.4,Q1,34/241,"BUSINESS, FINANCE(SSCI)",2,否,否,,,,,,JCR+CAS
ACCOUNTS OF CHEMICAL RESEARCH,17.7,Q1,14/239,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",1,是,否,,,,,,JCR+CAS
ACCOUNTS OF MATERIALS RESEARCH,14.7,Q1,31/460,"CHEMISTRY, MULTIDISCIPLINARY(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",1,是,否,,,,,,JCR+CAS
ACCREDITATION AND QUALITY ASSURANCE,1.0,Q4,67/79,"CHEMISTRY, ANALYTICAL(SCIE);INSTRUMENTS & INSTRUMENTATION(SCIE)",4,否,否,,,,,,JCR+CAS
ACE-ARCHITECTURE CITY AND ENVIRONMENT,0.8,Q3,57/76,ARCHITECTURE(ESCI);URBAN STUDIES(ESCI),4,否,是,,,,,,JCR+CAS
ACERVO,0.1,Q3,363/538,"HISTORY(ESCI);HUMANITIES, MULTIDISCIPLINARY(ESCI);INFORMATION SCIENCE & LIBRARY SCIENCE(ESCI)",,,,,,,,,JCR
ACG CASE REPORTS JOURNAL,0.5,Q4,139/147,GASTROENTEROLOGY & HEPATOLOGY(ESCI),4,否,是,,,,,,JCR+CAS
ACI MATERIALS JOURNAL,1.6,Q3,54/95,"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",4,否,否,0889325X,-,American Concrete Institute,United States,Civil and Structural Engineering; Building and Construction; Materials Science (all),JCR+CAS+EI
ACI STRUCTURAL JOURNAL,1.5,Q3,60/95,"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);ENGINEERING, CIVIL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",4,否,否,08893241,-,American Concrete Institute,United States,Civil and Structural Engineering; Building and Construction,JCR+CAS+EI
ACM COMMUNICATIONS IN COMPUTER ALGEBRA,0.5,Q4,294/343,"MATHEMATICS, APPLIED(ESCI)",4,否,否,19322232,19322240,Association for Computing Machinery,United States,Computational Theory and Mathematics; Computational Mathematics,JCR+CAS+EI
ACM COMPUTING SURVEYS,28.0,Q1,1/147,"COMPUTER SCIENCE, THEORY & METHODS(SCIE)",1,是,否,03600300,15577341,Association for Computing Machinery,United States,Computer Science (all); Theoretical Computer Science,JCR+CAS+EI
ACM JOURNAL OF DATA AND INFORMATION QUALITY,2.9,Q2,121/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",4,否,否,,,,,,JCR+CAS
ACM JOURNAL OF EXPERIMENTAL ALGORITHMICS,,,,,,,,10846654,-,Association for Computing Machinery,United States,Theoretical Computer Science,EI
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2.2,Q3,111/175,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);HUMANITIES, MULTIDISCIPLINARY(AHCI)",3,否,否,,,,,,JCR+CAS
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2.6,Q2,172/366,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",4,否,否,15504832,15504840,Association for Computing Machinery,United States,Hardware and Architecture; Software; Electrical and Electronic Engineering,JCR+CAS+EI
ACM SIGBED REVIEW,,,,,,,,-,15513688,Association for Computing Machinery,United States,Computer Science (miscellaneous); Engineering (miscellaneous),EI
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2.8,Q2,128/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",4,否,否,,,,,,JCR+CAS
ACM SIGECOM EXCHANGES,0.4,Q4,171/175,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",4,否,否,,,,,,JCR+CAS
ACM SIGPLAN NOTICES,,,,,,,,15232867,-,Association for Computing Machinery,United States,Computer Science (all),EI
ACM TRANSACTIONS ON ACCESSIBLE COMPUTING,3.5,Q2,71/175,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",2,否,否,19367228,-,Association for Computing Machinery,United States,Computer Science Applications; Human-Computer Interaction,JCR+CAS+EI
ACM TRANSACTIONS ON ALGORITHMS,1.4,Q2,118/343,"COMPUTER SCIENCE, THEORY & METHODS(SCIE);MATHEMATICS, APPLIED(SCIE)",3,否,否,15496325,15496333,Association for Computing Machinery,United States,Mathematics (miscellaneous),JCR+CAS+EI
ACM TRANSACTIONS ON APPLIED PERCEPTION,2.1,Q3,70/128,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",3,否,否,15443558,15443965,Association for Computing Machinery,United States,Computer Science (all); Theoretical Computer Science; Experimental and Cognitive Psychology,JCR+CAS+EI
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,1.8,Q2,71/147,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",3,否,否,15443566,15443973,Association for Computing Machinery,United States,Hardware and Architecture; Information Systems; Software,JCR+CAS+EI
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,2.0,Q3,136/204,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",4,否,否,23754699,23754702,Association for Computing Machinery,United States,Computer Science (all),JCR+CAS+EI
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,2.1,Q2,63/147,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",4,否,否,15564665,15564703,Association for Computing Machinery,United States,Computer Science (miscellaneous); Software; Control and Systems Engineering,JCR+CAS+EI
ACM TRANSACTIONS ON COMPUTATION THEORY,0.8,Q4,111/147,"COMPUTER SCIENCE, THEORY & METHODS(ESCI)",4,否,否,19423454,19423462,Association for Computing Machinery,United States,Computational Theory and Mathematics; Theoretical Computer Science,JCR+CAS+EI
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,0.9,Q1,5/27,"COMPUTER SCIENCE, THEORY & METHODS(SCIE);LOGIC(SCIE)",4,否,否,15293785,1557945X,Association for Computing Machinery,United States,Computer Science (all); Computational Mathematics; Logic; Theoretical Computer Science,JCR+CAS+EI
ACM TRANSACTIONS ON COMPUTER SYSTEMS,1.8,Q2,71/147,"COMPUTER SCIENCE, THEORY & METHODS(SCIE)",4,否,否,07342071,15577333,Association for Computing Machinery,United States,Computer Science (all),JCR+CAS+EI
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,6.6,Q1,25/258,"COMPUTER SCIENCE, CYBERNETICS(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",1,是,否,10730516,15577325,Association for Computing Machinery,United States,Human-Computer Interaction,JCR+CAS+EI
ACM TRANSACTIONS ON COMPUTING EDUCATION,3.8,Q1,12/86,"EDUCATION, SCIENTIFIC DISCIPLINES(SCIE)",3,否,否,-,19466226,Association for Computing Machinery,United States,Computer Science (all); Education,JCR+CAS+EI
ACM TRANSACTIONS ON COMPUTING FOR HEALTHCARE,8.0,Q1,3/48,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI);MEDICAL INFORMATICS(ESCI)",,,,26911957,26378051,Association for Computing Machinery,United States,Computer Science Applications; Information Systems; Software; Biomedical Engineering; Medicine (miscellaneous); Health Informatics; Health Information Management,JCR+EI
ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS,2.9,Q3,90/175,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",4,否,否,2378962X,23789638,Association for Computing Machinery,United States,Artificial Intelligence; Computer Networks and Communications; Hardware and Architecture; Human-Computer Interaction; Control and Optimization,JCR+CAS+EI
ACM TRANSACTIONS ON DATABASE SYSTEMS,1.7,Q3,78/128,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",2,否,否,03625915,15574644,Association for Computing Machinery,United States,Information Systems,JCR+CAS+EI
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,2.0,Q3,71/128,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",4,否,否,10844309,15577309,Association for Computing Machinery,United States,Computer Graphics and Computer-Aided Design; Computer Science Applications; Electrical and Electronic Engineering,JCR+CAS+EI
ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION,0.9,Q4,157/175,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",4,否,否,21678375,21678383,Association for Computing Machinery,United States,Marketing; Computer Science (miscellaneous); Economics and Econometrics; Computational Mathematics; Statistics and Probability,JCR+CAS+EI
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,2.6,Q2,57/128,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",3,否,否,15399087,15583465,Association for Computing Machinery,United States,Hardware and Architecture; Software,JCR+CAS+EI
ACM TRANSACTIONS ON EVOLUTIONARY LEARNING AND OPTIMIZATION,,,,,,,,2688299X,26883007,Association for Computing Machinery,United States,Computer Science (miscellaneous); Artificial Intelligence; Computational Theory and Mathematics; Computer Science Applications; Computer Vision and Pattern Recognition; Software,EI
ACM TRANSACTIONS ON GRAPHICS,9.5,Q1,5/128,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",1,是,否,07300301,15577368,Association for Computing Machinery,United States,Computer Graphics and Computer-Aided Design,JCR+CAS+EI
ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION,5.5,Q1,10/48,ROBOTICS(ESCI),2,否,否,-,25739522,Association for Computing Machinery,United States,Artificial Intelligence; Human-Computer Interaction,JCR+CAS+EI
ACM TRANSACTIONS ON INFORMATION SYSTEMS,9.1,Q1,10/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",2,否,否,10468188,15582868,Association for Computing Machinery,United States,"Business, Management and Accounting (all); Computer Science Applications; Information Systems",JCR+CAS+EI
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,6.6,Q1,25/258,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",3,否,否,21576904,21576912,Association for Computing Machinery,United States,Artificial Intelligence; Theoretical Computer Science,JCR+CAS+EI
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,4.8,Q2,57/204,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",4,否,否,21606455,21606463,Association for Computing Machinery,United States,Artificial Intelligence; Human-Computer Interaction,JCR+CAS+EI
ACM TRANSACTIONS ON INTERNET OF THINGS,3.7,Q2,124/366,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI);ENGINEERING, ELECTRICAL & ELECTRONIC(ESCI);TELECOMMUNICATIONS(ESCI)",3,否,否,25776207,-,Association for Computing Machinery,United States,Computer Networks and Communications; Computer Science Applications; Hardware and Architecture; Information Systems; Software,JCR+CAS+EI
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,4.1,Q1,23/128,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",3,否,否,15335399,15576051,Association for Computing Machinery,United States,Computer Networks and Communications,JCR+CAS+EI
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,4.8,Q1,16/128,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",3,否,否,15564681,1556472X,Association for Computing Machinery,United States,Computer Science (all),JCR+CAS+EI
ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS,3.6,Q2,93/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",4,否,否,2158656X,21586578,Association for Computing Machinery,United States,Management Information Systems; Computer Science (all),JCR+CAS+EI
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,3.2,Q1,13/343,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);MATHEMATICS, APPLIED(SCIE)",2,否,否,00983500,15577295,Association for Computing Machinery,United States,Software; Applied Mathematics,JCR+CAS+EI
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,1.9,Q1,70/343,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);MATHEMATICS, APPLIED(SCIE)",4,否,否,10493301,15581195,Association for Computing Machinery,United States,Computer Science Applications; Modeling and Simulation,JCR+CAS+EI
ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS,1.6,Q3,181/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",4,否,否,23763639,23763647,Association for Computing Machinery,United States,"Computer Science (miscellaneous); Computer Networks and Communications; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Media Technology",JCR+CAS+EI
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,6.0,Q1,10/128,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",3,否,否,,,,,,JCR+CAS
"ACM TRANSACTIONS ON MULTIMEDIA COMPUTING, COMMUNICATIONS AND APPLICATIONS",,,,,,,,15516857,15516865,Association for Computing Machinery,United States,Computer Networks and Communications; Hardware and Architecture,EI
ACM TRANSACTIONS ON PARALLEL COMPUTING,1.2,Q3,86/147,"COMPUTER SCIENCE, THEORY & METHODS(ESCI)",4,否,否,23294949,23294957,Association for Computing Machinery,United States,Computational Theory and Mathematics; Computer Science Applications; Hardware and Architecture; Software; Modeling and Simulation,JCR+CAS+EI
